trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.6, 'e': 0.8815592697443159}",30,0,-18.189302385968894,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
126,False,"{'a': 0.6, 'e': 0.8806777104745716}",25,0,-48.35493576396724,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
127,False,"{'a': 0.6, 'e': 0.8797970327640969}",25,0,-70.9622363761014,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
128,False,"{'a': 0.6, 'e': 0.8789172357313328}",20,0,-41.446746193766224,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
129,False,"{'a': 0.6, 'e': 0.8780383184956015}",25,0,-179.8619104168177,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
130,False,"{'a': 0.6, 'e': 0.8771602801771059}",20,0,-146.92515583020244,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
131,False,"{'a': 0.6, 'e': 0.8762831198969288}",35,26,-28.763015345301937,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.6, 'e': 0.8754068367770318}",20,0,-40.51608168620817,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
133,False,"{'a': 0.6, 'e': 0.8745314299402548}",20,0,-29.920532937303555,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
134,False,"{'a': 0.6, 'e': 0.8736568985103146}",25,0,-149.8063908149325,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
135,False,"{'a': 0.6, 'e': 0.8727832416118043}",30,0,-97.65160294058653,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
136,False,"{'a': 0.6, 'e': 0.8719104583701925}",25,0,-186.88485441690517,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
137,False,"{'a': 0.6, 'e': 0.8710385479118223}",20,0,-72.26961642865011,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
138,False,"{'a': 0.6, 'e': 0.8701675093639105}",25,0,-118.02869573016065,"{0: 18, 1: 0, 2: 2, 3: 4, 4: 1}",0
139,False,"{'a': 0.6, 'e': 0.8692973418545467}",20,0,-118.31512590754703,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
140,False,"{'a': 0.6, 'e': 0.8684280445126921}",30,0,-160.51612337301884,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 4}",0
141,False,"{'a': 0.6, 'e': 0.8675596164681794}",20,5,-14.916520815381181,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.6, 'e': 0.8666920568517111}",25,0,-167.9403604309136,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
143,False,"{'a': 0.6, 'e': 0.8658253647948594}",30,17,-145.75944685391158,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 3}",1
144,False,"{'a': 0.6, 'e': 0.8649595394300645}",20,0,-131.7273986765523,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
145,False,"{'a': 0.6, 'e': 0.8640945798906344}",25,0,-108.176995852594,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
146,False,"{'a': 0.6, 'e': 0.8632304853107438}",20,0,-110.77287784081912,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
147,False,"{'a': 0.6, 'e': 0.862367254825433}",20,0,-81.97331898211144,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
148,False,"{'a': 0.6, 'e': 0.8615048875706075}",25,1,-51.990813789856546,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
149,False,"{'a': 0.6, 'e': 0.8606433826830369}",25,0,-80.2123968038656,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
150,False,"{'a': 0.6, 'e': 0.8597827393003539}",25,0,-54.07693763173814,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.6, 'e': 0.8589229565610536}",20,2,3.6499578859722184,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.6, 'e': 0.8580640336044925}",20,0,-50.28834454717094,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
153,False,"{'a': 0.6, 'e': 0.857205969570888}",35,25,18.06858865289974,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.6, 'e': 0.8563487636013172}",20,0,-86.96706130883575,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
155,False,"{'a': 0.6, 'e': 0.8554924148377159}",20,0,-27.18705856362011,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
156,False,"{'a': 0.6, 'e': 0.8546369224228781}",30,2,-118.07483177330144,"{0: 22, 1: 0, 2: 2, 3: 2, 4: 2}",1
157,False,"{'a': 0.6, 'e': 0.8537822855004553}",30,0,-150.7773188875115,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
158,False,"{'a': 0.6, 'e': 0.8529285032149548}",25,0,-104.41422931605634,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
159,False,"{'a': 0.6, 'e': 0.8520755747117399}",20,0,-26.776400477956912,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.6, 'e': 0.8512234991370281}",20,0,-167.40215022069245,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
161,False,"{'a': 0.6, 'e': 0.8503722756378911}",20,0,-90.013148907628,"{0: 15, 1: 1, 2: 0, 3: 3, 4: 1}",1
162,False,"{'a': 0.6, 'e': 0.8495219033622532}",25,0,-148.65040859861355,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
163,False,"{'a': 0.6, 'e': 0.8486723814588909}",25,0,-116.79045167339417,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
164,False,"{'a': 0.6, 'e': 0.847823709077432}",20,0,-64.04112237020647,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
165,False,"{'a': 0.6, 'e': 0.8469758853683546}",30,0,-95.03685002714494,"{0: 20, 1: 6, 2: 1, 3: 2, 4: 1}",0
166,False,"{'a': 0.6, 'e': 0.8461289094829862}",20,0,-247.38316082537986,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 5}",0
167,False,"{'a': 0.6, 'e': 0.8452827805735033}",20,0,-158.4881449444777,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
168,False,"{'a': 0.6, 'e': 0.8444374977929298}",25,0,-72.58946026959813,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
169,False,"{'a': 0.6, 'e': 0.8435930602951368}",20,4,-9.05359689025965,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.6, 'e': 0.8427494672348417}",25,0,-182.08818958215357,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
171,False,"{'a': 0.6, 'e': 0.8419067177676068}",30,0,-56.165439878516324,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
172,False,"{'a': 0.6, 'e': 0.8410648110498392}",20,0,-91.2755990831914,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
173,False,"{'a': 0.6, 'e': 0.8402237462387894}",20,0,-65.73070570073843,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
174,False,"{'a': 0.6, 'e': 0.8393835224925505}",20,4,-59.41310565824745,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
175,False,"{'a': 0.6, 'e': 0.838544138970058}",25,0,-58.297421155950644,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
176,False,"{'a': 0.6, 'e': 0.8377055948310879}",20,0,-149.56241107613653,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
177,False,"{'a': 0.6, 'e': 0.8368678892362568}",20,0,-71.6937337236787,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
178,False,"{'a': 0.6, 'e': 0.8360310213470206}",20,5,-12.634039502458124,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
179,False,"{'a': 0.6, 'e': 0.8351949903256736}",20,0,-71.22540593898606,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
180,False,"{'a': 0.6, 'e': 0.8343597953353479}",25,0,-57.745258396287475,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
181,False,"{'a': 0.6, 'e': 0.8335254355400126}",25,8,-135.53877467587594,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 3}",1
182,False,"{'a': 0.6, 'e': 0.8326919101044725}",25,0,-129.05025064509485,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
183,False,"{'a': 0.6, 'e': 0.831859218194368}",20,0,-85.41420571745186,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",1
184,False,"{'a': 0.6, 'e': 0.8310273589761736}",20,0,-45.23216812799808,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
185,False,"{'a': 0.6, 'e': 0.8301963316171974}",20,12,6.4042551970617385,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.6, 'e': 0.8293661352855802}",20,9,-48.299784346479065,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
187,False,"{'a': 0.6, 'e': 0.8285367691502946}",20,0,-95.9152772307261,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
188,False,"{'a': 0.6, 'e': 0.8277082323811443}",20,0,-45.7361839974563,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
189,False,"{'a': 0.6, 'e': 0.8268805241487632}",25,0,-142.62384767464195,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
190,False,"{'a': 0.6, 'e': 0.8260536436246144}",25,0,-79.27636084599109,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
191,False,"{'a': 0.6, 'e': 0.8252275899809898}",20,0,-58.95497549623172,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
192,False,"{'a': 0.6, 'e': 0.8244023623910088}",35,20,-51.13855863936954,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
193,False,"{'a': 0.6, 'e': 0.8235779600286178}",25,0,-49.83358033845726,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
194,False,"{'a': 0.6, 'e': 0.8227543820685892}",30,0,-200.21170011770988,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
195,False,"{'a': 0.6, 'e': 0.8219316276865206}",25,3,-5.205963386150207,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
196,False,"{'a': 0.6, 'e': 0.8211096960588341}",30,0,-134.70899110093288,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
197,False,"{'a': 0.6, 'e': 0.8202885863627752}",25,0,-108.19266398538836,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
198,False,"{'a': 0.6, 'e': 0.8194682977764125}",20,0,-43.38360382408508,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
199,False,"{'a': 0.6, 'e': 0.818648829478636}",30,19,-6.076434308663483,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.6, 'e': 0.8178301806491574}",20,7,6.157464571672953,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.6, 'e': 0.8170123504685082}",20,0,-86.2824032205107,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
202,False,"{'a': 0.6, 'e': 0.8161953381180397}",20,0,-17.879213181884953,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
203,False,"{'a': 0.6, 'e': 0.8153791427799216}",25,0,-22.389788865580442,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
204,False,"{'a': 0.6, 'e': 0.8145637636371417}",20,4,-61.35972858540476,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
205,False,"{'a': 0.6, 'e': 0.8137491998735046}",20,0,-65.54132797440917,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
206,False,"{'a': 0.6, 'e': 0.812935450673631}",20,0,-86.78372085736733,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
207,False,"{'a': 0.6, 'e': 0.8121225152229574}",20,0,-85.06919021148046,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
208,False,"{'a': 0.6, 'e': 0.8113103927077344}",20,0,-111.3588394540126,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
209,False,"{'a': 0.6, 'e': 0.8104990823150267}",20,0,-28.23881307471866,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
210,False,"{'a': 0.6, 'e': 0.8096885832327116}",20,0,-93.22189704602458,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
211,False,"{'a': 0.6, 'e': 0.8088788946494789}",25,0,-179.16057949326174,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
212,False,"{'a': 0.6, 'e': 0.8080700157548294}",25,5,-25.372995692247223,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
213,False,"{'a': 0.6, 'e': 0.8072619457390746}",20,0,-93.59432110004622,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
214,False,"{'a': 0.6, 'e': 0.8064546837933355}",25,0,-96.9121209074496,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
215,False,"{'a': 0.6, 'e': 0.8056482291095421}",25,0,-195.90761423357083,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
216,False,"{'a': 0.6, 'e': 0.8048425808804326}",20,0,-127.41008284326747,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
217,False,"{'a': 0.6, 'e': 0.8040377382995522}",20,0,-13.325681211371293,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
218,False,"{'a': 0.6, 'e': 0.8032337005612527}",20,0,-99.20724165818963,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
219,False,"{'a': 0.6, 'e': 0.8024304668606914}",20,0,-4.824524761117933,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
220,False,"{'a': 0.6, 'e': 0.8016280363938307}",25,0,-108.95476364217191,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
221,False,"{'a': 0.6, 'e': 0.8008264083574369}",20,0,-90.76546263639364,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
222,False,"{'a': 0.6, 'e': 0.8000255819490795}",30,0,-139.84006487098458,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
223,False,"{'a': 0.6, 'e': 0.7992255563671304}",25,0,-115.37542483923677,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
224,False,"{'a': 0.6, 'e': 0.7984263308107633}",20,3,-41.97665275303533,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
225,False,"{'a': 0.6, 'e': 0.7976279044799526}",20,9,-2.5230241607126307,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
226,False,"{'a': 0.6, 'e': 0.7968302765754727}",25,0,-81.19593655717469,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
227,False,"{'a': 0.6, 'e': 0.7960334462988972}",20,0,-106.07228183522913,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
228,False,"{'a': 0.6, 'e': 0.7952374128525983}",25,0,-96.06986870431196,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
229,False,"{'a': 0.6, 'e': 0.7944421754397457}",20,2,-53.339575504574555,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
230,False,"{'a': 0.6, 'e': 0.7936477332643059}",30,0,-185.71860849610428,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
231,False,"{'a': 0.6, 'e': 0.7928540855310416}",20,0,-39.02695825232079,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
232,False,"{'a': 0.6, 'e': 0.7920612314455105}",20,0,-27.42965385298273,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
233,False,"{'a': 0.6, 'e': 0.7912691702140651}",20,0,-119.00809552526334,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
234,False,"{'a': 0.6, 'e': 0.790477901043851}",20,1,-146.9505017604182,"{0: 12, 1: 1, 2: 0, 3: 4, 4: 2}",1
